ID,A13_1,A13_2,A13_3,A13_4,A13_5,A13_6,AS13_1,AS13_2,AS13_3,AS13_4,AS13_5,AS13_6,W13_1,W13_2,W13_3,W13_4,W13_5,W13_6,WS13_1,WS13_2,WS13_3,WS13_4,WS13_5,WS13_6
OTU_57,0,0,0,0,0,0,78,95,204,96,77,117,0,0,0,0,0,0,131,46,66,71,37,61
OTU_58,0,0,0,0,0,0,73,86,0,0,81,48,0,0,0,0,0,0,83,59,0,48,0,129
OTU_59,0,0,0,0,0,0,63,38,130,127,64,95,0,0,0,0,0,0,35,6,46,28,39,32
OTU_60,0,0,24,0,0,0,328,352,489,444,353,426,65,0,0,48,0,28,538,422,484,497,508,323
OTU_61,0,0,0,0,0,0,53,92,38,0,39,0,0,0,0,0,0,0,12,59,28,21,61,21
OTU_62,0,0,7,0,0,0,114,76,146,135,155,163,29,0,0,67,0,0,114,164,98,60,8,88
OTU_63,0,63,17,0,0,0,0,0,0,0,0,51,64,105,0,51,0,0,0,0,0,10,0,0
OTU_64,14,0,23,15,0,10,0,89,90,109,60,64,0,24,0,0,0,0,0,54,52,116,99,136
OTU_65,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_66,0,0,0,0,0,0,21,40,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0
OTU_67,0,0,0,0,0,0,61,39,97,87,4,0,0,0,0,0,0,0,51,0,0,52,0,51
OTU_68,18,61,22,26,68,74,0,0,0,23,0,2,46,41,6,85,52,51,0,0,0,0,0,0
OTU_69,0,0,0,0,0,0,14,29,37,96,39,8,0,0,0,0,0,0,0,14,85,0,14,62
OTU_70,0,0,6,0,0,0,91,162,340,343,192,263,10,46,0,103,0,0,214,209,261,106,269,229
OTU_71,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_72,0,0,0,0,126,0,82,56,24,79,41,55,0,0,0,0,0,0,43,47,0,41,46,35
OTU_73,0,0,0,0,0,0,0,0,82,82,75,68,0,0,0,0,0,0,0,0,62,0,0,0
OTU_74,22,0,41,13,0,11,0,0,0,0,0,0,82,0,0,0,0,16,0,0,0,0,0,0
OTU_75,0,0,0,0,0,0,81,59,79,0,60,27,0,0,0,0,0,0,0,0,0,0,0,0
OTU_76,0,0,0,0,0,0,89,92,135,0,96,114,0,0,0,34,0,0,63,34,70,40,28,90
OTU_77,13,0,0,0,0,12,0,0,0,51,0,0,81,0,0,38,51,0,0,22,0,7,0,27
OTU_78,0,0,0,0,0,0,81,10,132,106,63,204,0,0,0,0,0,0,109,162,105,100,122,84
OTU_79,0,0,0,0,0,0,0,56,49,110,0,0,0,0,0,0,0,0,22,80,0,0,0,0
OTU_80,0,0,0,0,0,0,68,24,70,91,58,131,0,0,0,0,0,0,22,62,38,0,38,13
OTU_81,0,0,0,0,0,0,61,70,118,114,80,124,0,0,0,0,0,0,65,77,66,108,109,57
OTU_82,0,0,0,0,0,0,18,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_83,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_84,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,77,37,46,0,0,0,0,0,0
OTU_85,0,0,0,0,0,0,122,157,120,199,130,124,0,0,0,0,0,0,195,146,134,134,223,85
OTU_86,0,0,0,0,0,0,38,43,102,54,45,86,0,0,0,0,0,0,44,34,54,35,62,0
OTU_87,0,0,0,0,11,14,56,28,37,18,48,58,0,0,0,0,0,0,91,64,67,58,101,67
OTU_88,0,0,0,0,0,0,0,0,64,68,59,75,23,0,0,0,0,0,52,0,0,0,30,45
OTU_89,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0
OTU_90,0,0,0,0,0,0,29,36,37,18,27,0,10,0,0,71,0,0,0,0,0,0,0,0
OTU_91,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,38,70,0,0,48,0,89,90,44
OTU_92,38,14,11,31,0,0,25,49,37,0,0,13,12,0,0,58,5,7,70,81,76,53,68,69
OTU_93,68,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0
OTU_94,0,0,0,0,0,0,0,49,0,67,0,0,0,0,0,0,0,0,0,0,35,0,0,0
OTU_95,0,0,0,0,0,0,45,23,60,101,62,44,0,0,0,0,0,0,23,0,14,0,1,24
OTU_96,0,0,0,0,0,0,0,66,0,48,0,0,0,0,0,0,0,0,0,35,0,0,37,0
OTU_97,0,0,0,0,14,0,12,47,43,51,66,36,0,0,0,47,0,0,32,65,49,50,0,61
OTU_98,30,43,41,69,0,0,25,0,67,22,0,78,0,0,0,0,0,0,0,0,45,21,0,0
OTU_99,0,0,0,0,0,0,31,19,48,77,36,54,0,0,0,67,0,0,22,25,26,0,0,28
OTU_100,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,0,0,60,13,19,66,30,12
OTU_101,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,37,0,34,0
OTU_102,0,0,0,0,0,13,61,35,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_103,0,0,0,0,0,0,15,21,37,61,19,53,0,0,0,0,0,0,0,0,0,15,19,0
OTU_104,0,0,0,0,0,0,0,0,0,0,22,32,0,0,0,0,0,0,37,44,42,24,61,24
OTU_105,0,0,0,0,0,0,0,52,62,59,49,54,0,0,0,0,0,0,33,0,0,0,0,0
OTU_106,0,0,0,0,0,0,0,0,0,59,22,21,0,0,0,0,0,0,0,16,19,0,18,23
OTU_107,0,0,26,0,0,0,0,0,0,25,0,0,0,0,0,59,0,0,0,35,0,0,0,0
OTU_108,0,0,32,0,0,0,30,0,32,57,26,0,0,0,0,134,0,0,25,0,0,45,69,89
OTU_109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,59,0
OTU_110,0,0,0,0,0,0,15,58,31,37,12,29,0,0,0,0,0,0,0,47,0,0,21,12
OTU_111,0,0,0,0,0,0,57,0,0,0,41,71,0,0,0,0,0,0,21,44,0,0,48,17
OTU_112,0,0,0,0,0,0,32,37,58,80,57,85,0,0,0,0,0,0,37,38,24,24,0,34
OTU_113,0,0,0,0,0,0,0,33,29,55,0,0,0,0,0,0,0,0,33,0,0,17,0,20
OTU_114,0,0,0,0,0,0,0,0,0,0,0,9,0,55,0,53,0,0,0,0,0,0,0,0
OTU_115,0,0,0,0,0,0,45,42,84,0,0,42,0,0,0,0,0,0,38,17,25,22,0,28
OTU_116,0,0,0,0,0,0,21,19,41,54,0,30,0,0,0,0,0,0,20,15,17,0,0,25
OTU_117,0,0,0,0,0,0,53,0,0,0,0,44,0,0,0,0,0,0,46,99,0,54,0,51
OTU_118,0,0,0,0,0,0,0,0,17,61,0,15,0,0,0,0,0,0,0,63,11,7,0,19
OTU_119,50,0,38,24,13,27,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0
OTU_120,16,0,0,0,0,0,39,40,50,0,22,7,10,0,0,0,35,0,0,0,0,0,0,0
OTU_121,0,0,0,0,0,0,0,0,0,49,20,0,0,0,0,0,0,0,0,0,0,10,0,0
OTU_122,0,0,0,0,0,0,30,0,0,107,0,22,0,0,0,0,0,0,1,15,28,0,26,8
OTU_123,0,0,0,0,0,0,32,29,47,41,29,35,0,0,0,0,0,0,0,0,0,0,0,0
OTU_124,0,0,0,0,0,0,0,0,22,2,0,18,0,0,0,0,0,0,27,40,24,27,47,28
OTU_125,0,0,0,0,0,0,23,23,35,46,22,18,0,0,0,0,0,0,17,0,19,20,22,16
OTU_126,0,0,0,0,0,0,0,15,14,0,0,46,0,0,0,0,0,0,0,10,9,0,0,0
